map_id,law_id,req_type_id,actor_id,is_mandatory,compliance_notes
715,127,1,1,true,
716,127,2,1,true,
843,225,1,2,true,
844,226,1,2,true,
845,226,2,2,true,
846,226,3,2,true,
847,226,4,2,true,
848,226,5,1,true,
849,226,5,2,true,
850,232,1,2,true,
851,233,1,1,true,
852,233,2,1,true,
853,233,2,2,true,
854,233,3,1,true,
855,233,4,1,true,
856,233,4,2,true,
857,233,5,2,true,
858,233,6,1,true,
859,233,6,2,true,
860,234,1,2,true,
861,237,1,2,true,
575,8,1,2,true,
576,8,2,1,true,
577,8,3,1,true,
578,8,4,2,true,
579,8,5,1,true,
580,8,5,2,true,
581,8,6,1,true,
582,9,1,1,true,
583,9,2,1,true,
584,9,3,1,true,
585,9,3,2,true,
586,9,4,1,true,
587,9,5,1,true,
588,9,5,2,true,
589,9,6,2,true,
590,9,7,1,true,
591,9,8,1,true,
592,9,8,2,true,
593,10,1,1,true,
594,10,2,1,true,
595,10,3,1,true,
596,41,1,2,true,
597,42,1,2,true,
598,42,2,2,true,
599,43,1,1,true,
600,43,2,1,true,
601,43,3,1,true,
602,43,3,2,true,
603,43,4,1,true,
604,43,5,2,true,
605,43,6,2,true,
606,43,7,1,true,
607,43,8,1,true,
608,43,8,2,true,
609,44,1,1,true,
610,44,1,2,true,
611,45,1,1,true,
612,45,1,2,true,
613,45,2,1,true,
614,45,2,2,true,
615,45,3,1,true,
616,45,4,1,true,
617,45,5,2,true,
618,45,6,1,true,
619,45,6,2,true,
620,46,1,2,true,
621,46,2,2,true,
622,46,3,2,true,
623,47,1,2,true,
624,47,2,2,true,
625,54,1,1,true,
626,55,1,1,true,
627,55,1,2,true,
628,55,2,1,true,
717,130,1,1,true,
629,55,2,2,true,
630,55,3,1,true,
631,55,3,2,true,
632,55,4,1,true,
633,55,5,1,true,
634,55,5,2,true,
635,55,6,2,true,
636,55,7,1,true,
637,55,8,1,true,
638,55,8,2,true,
639,56,1,1,true,
640,56,2,1,true,
641,56,3,1,true,
642,56,3,2,true,
643,56,4,1,true,
644,56,5,1,true,
645,56,6,2,true,
646,56,7,1,true,
647,56,8,1,true,
648,61,1,1,true,
649,61,1,2,true,
650,61,2,1,true,
651,61,3,1,true,
652,61,3,2,true,
653,61,4,2,true,
654,61,4,3,true,
655,61,5,1,true,
656,61,6,1,true,
657,61,6,2,true,
658,61,6,3,true,
659,68,1,2,true,
660,68,2,2,true,
661,73,1,1,true,
662,73,2,1,true,
663,73,3,1,true,
664,73,4,1,true,
665,73,5,1,true,
666,73,6,1,true,
667,73,7,1,true,
668,73,8,1,true,
669,76,1,1,true,
670,77,1,2,true,
671,77,2,2,true,
672,77,3,2,true,
673,77,4,2,true,
674,78,1,2,true,
675,85,1,1,true,
676,85,1,2,true,
677,86,1,1,true,
678,86,2,1,true,
679,86,3,1,true,
680,86,4,1,true,
681,86,5,1,true,
682,86,6,1,true,
683,86,7,1,true,
684,86,8,1,true,
685,91,1,2,true,
686,92,1,2,true,
687,107,1,1,true,
688,107,2,1,true,
689,107,3,1,true,
690,107,3,2,true,
691,107,4,2,true,
692,107,5,2,true,
693,107,6,1,true,
694,107,7,1,true,
695,107,7,2,true,
696,108,1,1,true,
697,108,2,1,true,
698,108,3,1,true,
699,108,4,2,true,
700,108,5,1,true,
701,108,6,1,true,
702,108,6,2,true,
703,110,1,1,true,
704,110,2,1,true,
705,110,3,1,true,
706,110,3,2,true,
707,110,4,1,true,
708,110,5,2,true,
709,110,6,2,true,
710,110,7,1,true,
711,110,8,1,true,
712,110,8,2,true,
713,117,1,1,true,
714,117,2,1,true,
718,130,2,1,true,
719,130,3,1,true,
720,130,4,2,true,
721,130,5,2,true,
722,130,6,2,true,
723,130,7,1,true,
724,130,8,1,true,
725,130,8,2,true,
726,135,1,1,true,
727,135,2,1,true,
728,135,3,1,true,
729,135,4,1,true,
730,135,5,1,true,
731,135,6,1,true,
732,135,6,2,true,
733,136,1,2,true,
734,136,2,2,true,
735,136,3,2,true,
736,136,4,2,true,
737,136,5,2,true,
738,136,6,2,true,
739,136,7,2,true,
740,137,1,1,true,
741,137,1,2,true,
742,138,1,1,true,
743,138,2,1,true,
744,138,3,1,true,
745,138,3,2,true,
746,138,4,1,true,
747,138,5,2,true,
748,138,6,1,true,
749,138,7,1,true,
750,138,7,2,true,
751,139,1,2,true,
752,139,2,2,true,
753,139,3,2,true,
754,149,1,2,true,
755,149,2,2,true,
756,149,3,2,true,
757,149,4,2,true,
758,162,1,2,true,
759,162,2,2,true,
760,162,3,2,true,
761,162,4,2,true,
762,162,5,2,true,
763,162,6,2,true,
764,164,1,2,true,
765,165,1,2,true,
766,166,1,1,true,
767,166,1,2,true,
768,166,2,1,true,
769,166,2,2,true,
770,166,3,1,true,
771,166,4,2,true,
772,166,5,1,true,
773,166,5,2,true,
774,166,6,1,true,
775,166,6,2,true,
776,166,7,1,true,
777,166,8,1,true,
778,166,8,2,true,
779,167,1,1,true,
780,167,2,1,true,
781,167,3,1,true,
782,167,3,2,true,
783,167,4,1,true,
784,167,4,2,true,
785,167,5,1,true,
786,167,5,2,true,
787,167,6,2,true,
788,167,7,1,true,
789,167,7,2,true,
790,178,1,1,true,
791,178,2,1,true,
792,178,3,1,true,
793,178,4,1,true,
794,178,5,1,true,
795,178,6,1,true,
796,185,1,1,true,
797,185,1,2,true,
798,185,2,1,true,
799,185,2,2,true,
800,185,3,1,true,
801,185,3,2,true,
802,185,4,2,true,
803,185,5,1,true,
804,185,5,2,true,
805,185,5,3,true,
806,186,1,1,true,
807,186,2,1,true,
808,186,3,1,true,
809,187,1,1,true,
810,187,1,2,true,
811,187,2,1,true,
812,187,2,2,true,
813,187,3,1,true,
814,187,3,2,true,
815,187,4,2,true,
816,187,5,2,true,
817,187,6,1,true,
818,187,7,1,true,
819,187,7,2,true,
820,187,7,3,true,
821,207,1,1,true,
822,207,1,2,true,
823,207,1,3,true,
824,207,2,1,true,
825,207,2,2,true,
826,208,1,1,true,
827,208,1,2,true,
828,208,2,1,true,
829,208,2,2,true,
830,208,3,1,true,
831,208,4,1,true,
832,208,5,1,true,
833,208,5,2,true,
834,208,6,1,true,
835,208,6,2,true,
836,208,7,1,true,
837,208,8,1,true,
838,208,8,2,true,
839,209,1,1,true,
840,210,1,1,true,
841,221,1,1,true,
842,224,1,2,true,