map_id,law_id,scope_code
1,8,D
2,9,D
3,10,D
4,41,G
5,42,G
6,43,A
7,43,D
8,44,D
9,45,D
10,46,F
11,47,G
12,54,G
13,55,D
14,56,D
15,61,A
16,61,F
17,61,D
18,61,G
19,68,G
20,73,D
21,76,A
22,77,F
23,78,G
24,85,G
25,86,D
26,92,G
27,107,D
28,108,D
29,110,A
30,110,D
31,117,A
32,127,G
33,130,A
34,130,D
35,135,D
36,136,D
37,137,G
38,138,A
39,138,F
40,138,D
41,139,A
42,149,G
43,162,F
44,164,G
45,165,G
46,166,D
47,167,A
48,167,D
49,178,A
50,178,D
51,185,D
52,186,A
53,187,F
54,187,D
55,187,G
56,207,A
57,208,D
58,209,D
59,210,A
60,221,G
61,224,G
62,225,G
63,226,F
64,226,D
65,226,G
66,232,G
67,233,D
68,234,G
69,237,G